,file,flines,full_path,no_characters,no_lines,no_tokens,prog_lang,round,solution,task,username,year
464,d.py,"#!/usr/bin/python
 
 fin = open(""d.in"", ""r"")
 fout = open(""d.out"", ""w"")
 
 def carray(dims, init):
 	if dims:
 		return map(lambda x: carray(dims[1:], init), range(dims[0]))
 	else:
 		return init
 
 S = 105
 cc = carray([S+2, S+2], 0)
 cc[0][0] = 1
 
 for i in xrange(S):
 	for j in xrange(S):
 		cc[i+1][j+2] += cc[i][j]
 		cc[i+2][j+1] += cc[i][j]
 		
 
 def comb(x, y):
 	return cc[x][y]
 	if x > 2*y or y > x*x:
 		return 0
 	elif x == 2*y or y == w*x:
 		return 1
 	else:
 		return 10
 	
 def calc(start, end, rocks):
 	M = 10007
 	if rocks:
 		return (calc(start, end, rocks[1:]) - calc(rocks[0], end, rocks[1:]) * calc(start, rocks[0], [])) % M
 	else:
 		xd = end[1] - start[1]
 		yd = end[0] - start[0]
 		return comb(xd, yd) % M
 	
 n = int(fin.readline())
 for i in xrange(1, n+1):
 	h, w, r = map(int, fin.readline().split())
 	rocks = []
 	for j in xrange(r):
 		rocks.append(map(int, fin.readline().split()))
 	rocks.sort()
 	result = calc((1,1), (h, w), rocks)
 	print result
 	print >> fout, ""Case #%d: %d"" % (i, result)
 
",gcj/2008/32002/RalfKistner/24445/0/extracted/d.py,1040,51,156,Python,32002,0,24445,RalfKistner,2008
465,b.py,"#!/usr/bin/python
 
 fin = open(""b.in"", ""r"")
 fout = open(""b.out"", ""w"")
 
 INF = 100000000
 
 def carray(dims, init):
 	if dims:
 		return map(lambda x: carray(dims[1:], init), range(dims[0]))
 	else:
 		return init
 
 cache = {}
 def portals(grid, q):
 	if q in cache:
 		return cache[q]
 	ports = []
 	y = q[0]
 	while grid[y][q[1]]:
 		y += 1
 	ports.append((y-1, q[1]))
 	y = q[0]
 	while grid[y][q[1]]:
 		y -= 1
 	ports.append((y+1, q[1]))
 	
 	x = q[1]
 	while grid[q[0]][x]:
 		x += 1
 	ports.append((q[0], x-1))
 	x = q[1]
 	while grid[q[0]][x]:
 		x -= 1
 	ports.append((q[0], x+1))
 	
 	cache[q] = ports
 	return ports
 	
 n = int(fin.readline())
 for i in xrange(1, n+1):
 	cache = {}
 	r, c = map(int, fin.readline().split())
 	
 	grid = map(lambda x: [False]*(c+2), range(r+2))
 	
 	start = None
 	end = None
 	cw = carray([r+2, c+2], 0)
 	
 	
 	for j in xrange(r):
 		for k, ch in enumerate(fin.readline().strip()):
 			if ch == '.' or ch == 'O' or ch == 'X':
 				grid[j+1][k+1] = True
 				cw[j+1][k+1] = INF
 			
 			if ch == 'O':
 				start = (j+1, k+1)
 			if ch == 'X':
 				end = (j+1, k+1)
 	
 	r += 2
 	c += 2
 	#print start
 	#print end
 	#for line in grid:
 #		print line
 	
 	best = carray([r, c], INF)
 	
 	Q = []
 	for y in range(r):
 		for x in range(c):
 			if not grid[y][x]:
 				Q.append((y, x))
 	
 	
 	while Q:
 		p = Q[0]
 		py, px = p
 		s = cw[py][px]
 		del Q[0]
 		for q in [(py+1, px), (py, px+1), (py-1, px), (py, px-1)]:
 			(y, x) = q
 			if y < r and x < c and y >= 0 and x >= 0 and cw[y][x] > s + 1:
 				cw[y][x] = s + 1
 				Q.append(q)
 		
 		
 	#print cw
 	Q = [(start, 0)]
 	best[start[0]][start[1]] = 0
 	
 	while Q:
 		p, v = Q[0]
 		del Q[0]
 		
 		s = cw[p[0]][p[1]]
 		
 		for q in [(p[0]+1, p[1]), (p[0], p[1]+1), (p[0]-1, p[1]), (p[0], p[1]-1)]:
 			y, x = q
 			if grid[y][x]:
 				if best[y][x] > v + 1:
 					best[y][x] = v + 1
 					Q.append((q, v+1))
 					#todo: append portals
 			
 		for q in portals(grid, p):
 			y, x = q
 			if best[y][x] > v + s:
 				best[y][x] = v + s
 				Q.append((q, v+s))
 				
 	#for line in best:
 	#	print line
 	
 	result = best[end[0]][end[1]]
 	print i, result
 	if result >= INF:
 		print >> fout, ""Case #%d: THE CAKE IS A LIE"" % (i)
 	else:
 		print >> fout, ""Case #%d: %d"" % (i, result)
 
",gcj/2008/32002/RalfKistner/24443/1/extracted/b.py,2292,125,371,Python,32002,1,24443,RalfKistner,2008
466,b.py,"#!/usr/bin/python
 
 fin = open(""b.in"", ""r"")
 fout = open(""b.out"", ""w"")
 
 INF = 100000000
 
 def carray(dims, init):
 	if dims:
 		return map(lambda x: carray(dims[1:], init), range(dims[0]))
 	else:
 		return init
 	
 def portals(grid, q):
 	ports = []
 	y = q[0]
 	while grid[y][q[1]]:
 		y += 1
 	ports.append((y-1, q[1]))
 	y = q[0]
 	while grid[y][q[1]]:
 		y -= 1
 	ports.append((y+1, q[1]))
 	
 	x = q[1]
 	while grid[q[0]][x]:
 		x += 1
 	ports.append((q[0], x-1))
 	x = q[1]
 	while grid[q[0]][x]:
 		x -= 1
 	ports.append((q[0], x+1))
 	
 	return ports
 	
 n = int(fin.readline())
 for i in xrange(1, n+1):
 	r, c = map(int, fin.readline().split())
 	
 	grid = map(lambda x: [False]*(c+2), range(r+2))
 	
 	start = None
 	end = None
 	cw = carray([r+2, c+2], 0)
 	
 	
 	for j in xrange(r):
 		for k, ch in enumerate(fin.readline().strip()):
 			if ch == '.' or ch == 'O' or ch == 'X':
 				grid[j+1][k+1] = True
 				cw[j+1][k+1] = INF
 			
 			if ch == 'O':
 				start = (j+1, k+1)
 			if ch == 'X':
 				end = (j+1, k+1)
 	
 	r += 2
 	c += 2
 	print start
 	print end
 	#for line in grid:
 #		print line
 	
 	best = carray([r, c], INF)
 	
 	Q = []
 	for y in range(r):
 		for x in range(c):
 			if not grid[y][x]:
 				Q.append((y, x))
 	
 	
 	while Q:
 		p = Q[0]
 		py, px = p
 		s = cw[py][px]
 		del Q[0]
 		for q in [(py+1, px), (py, px+1), (py-1, px), (py, px-1)]:
 			(y, x) = q
 			if y < r and x < c and y >= 0 and x >= 0 and cw[y][x] > s + 1:
 				cw[y][x] = s + 1
 				Q.append(q)
 		
 		
 	#print cw
 	Q = [(start, 0)]
 	best[start[0]][start[1]] = 0
 	
 	while Q:
 		p, v = Q[0]
 		del Q[0]
 		
 		s = cw[p[0]][p[1]]
 		
 		for q in [(p[0]+1, p[1]), (p[0], p[1]+1), (p[0]-1, p[1]), (p[0], p[1]-1)]:
 			y, x = q
 			if grid[y][x]:
 				if best[y][x] > v + 1:
 					best[y][x] = v + 1
 					Q.append((q, v+1))
 					#todo: append portals
 			
 		for q in portals(grid, p):
 			y, x = q
 			if best[y][x] > v + s:
 				best[y][x] = v + s
 				Q.append((q, v+s))
 				
 	for line in best:
 		print line
 	
 	result = best[end[0]][end[1]]
 	print result
 	if result >= INF:
 		print >> fout, ""Case #%d: THE CAKE IS A LIE"" % (i)
 	else:
 		print >> fout, ""Case #%d: %d"" % (i, result)
 
",gcj/2008/32002/RalfKistner/24443/0/extracted/b.py,2206,120,354,Python,32002,0,24443,RalfKistner,2008
12827,q1.py,"#!/usr/bin/python
 fin = open(""q1.in"",""r"")
 fout = open(""q1.out"",""w"")
 n = int(fin.readline())
 
 for i in range(n):
 	s = int(fin.readline())
 	engines = set()
 	for j in range(s):
 		engines.add(fin.readline().strip())
 	
 	q = int(fin.readline())
 	m = 0
 	current = set(engines)
 	for j in range(q):
 		e = fin.readline().strip()
 		
 		if e in current:
 			current.remove(e)
 			
 		if len(current) == 0:
 			current = set(engines)
 			current.remove(e)
 			m += 1
 			
 	print >> fout, ""Case #%d: %d"" % (i+1, m)",gcj/2008/32013/RalfKistner/24480/1/extracted/q1.py,517,26,66,Python,32013,1,24480,RalfKistner,2008
12828,q1.py,"#!/usr/bin/python
 fin = open(""q1.in"")
 n = int(fin.readline())
 
 for i in range(n):
 	s = int(fin.readline())
 	engines = set()
 	for j in range(s):
 		engines.add(fin.readline().strip())
 	
 	q = int(fin.readline())
 	m = 0
 	current = set(engines)
 	for j in range(q):
 		e = fin.readline().strip()
 		
 		if e in current:
 			current.remove(e)
 			
 		if len(current) == 0:
 			current = set(engines)
 			current.remove(e)
 			m += 1
 			
 	print ""Case #%d: %d"" % (i+1, m)",gcj/2008/32013/RalfKistner/24480/0/extracted/q1.py,477,25,61,Python,32013,0,24480,RalfKistner,2008
12829,c.py,"#!/usr/bin/python
 import math
 
 def pyth(k, r):
 	return   math.sqrt(r*r-k*k)
 	
 def corner(x1, y1, x2, y2, r):	#x1 < x2, y1 > y2
 	tr = (x1 * (y1 - y2) + y2 * (x2 - x1))/2
 	angle = math.atan(y1/x1) - math.atan(y2/x2)
 	sl = r * r * angle / 2
 	return sl - tr
 	
 	
 def inside(x, y, r):
 	return x*x + y*y <= r*r
 	
 def square(x, y, w, r):
 	if not inside(x, y, r):
 		return 0
 	
 	if inside(x+w, y+w, r):
 		return w*w
 	
 	if inside(x+w, y, r) and inside(x, y+w, r):
 		x2 = pyth(y+w,r)
 		y2 = pyth(x+w,r)
 		return w*w - (x+w-x2)*(y+w-y2) + corner(x2, y+w, x+w, y2, r)
 	
 	if inside(x+w, y, r):
 		y2 = pyth(x+w, r)
 		y3 = pyth(x, r)
 		return w*(y2-y) + corner(x, y3, x+w, y2, r)
 		
 	if inside(x, y+w, r):
 		x2 = pyth(y+w, r)
 		x3 = pyth(y, r)
 		return w*(x2-x) + corner(x2, y+w, x3, y, r)
 	
 	else:
 		y2 = pyth(x, r)
 		x2 = pyth(y, r)
 		return corner(x, y2, x2, y, r)
 
 def solve(f, R, t, w, g):
 	OPEN = 'open'
 	CLOSED = 'closed'
 	
 	t += f
 	w += f
 	g -= f*2
 	if g <= 0:
 		return 1.0
 	r = R - t
 	
 	
 	squarea = 0
 	y = w
 	while y <= r:
 		x = w
 		while x <= r:
 			squarea += square(x, y, g, r)
 			x += 2*w+g
 		y += 2*w+g
 		
 	
 	cut = squarea
 	circle = math.pi*R*R/4
 	return 1.0 - cut/circle
 
 fin = open(""c.in"",""r"")
 fout = open(""c.out"",""w"")
 
 n = int(fin.readline())
 for i in range(n):
 	f, R, t, w, g = map(float, fin.readline().split())
 	s = solve(f, R, t, w, g)
 	print >> fout, ""Case #%d: %.6f"" % (i+1, s)
 	print ""Case #%d: %.6f"" % (i+1, s)
 
 fout.close()",gcj/2008/32013/RalfKistner/24479/1/extracted/c.py,1510,80,274,Python,32013,1,24479,RalfKistner,2008
12831,b.py,"#!/usr/bin/python
 def timeToMin(s):
 	a = map(int,s.split("":""))
 	return a[0]*60+a[1]
 	
 	
 fin = open(""b.in"",""r"")
 fout = open(""b.out"",""w"")
 
 n = int(fin.readline())
 
 LEN = 1440
 
 for i in range(n):
 	
 	t = int(fin.readline())
 	na, nb = map(int, fin.readline().split())
 	
 	
 	a = [0]*(LEN+t)
 	b = [0]*(LEN+t)
 	
 	for j in range(na):
 		t1, t2 = map(timeToMin, fin.readline().split())
 		t2 += t
 		a[t1] -= 1
 		b[t2] += 1
 	
 	for j in range(nb):
 		t1, t2 = map(timeToMin, fin.readline().split())
 		t2 += t
 		b[t1] -= 1
 		a[t2] += 1
 		
 	at = 0
 	s = 0
 	for k in a:
 		s += k
 		if s < 0:
 			at -= s
 			s = 0
 		
 	bt = 0
 	s = 0
 	for k in b:
 		s += k
 		if s < 0:
 			bt -= s
 			s = 0
 	
 	print >> fout, ""Case #%d: %d %d"" % (i+1, at, bt)
 	print ""Case #%d: %d %d"" % (i+1, at, bt)
 		",gcj/2008/32013/RalfKistner/24481/1/extracted/b.py,810,53,140,Python,32013,1,24481,RalfKistner,2008
12832,b.py,"#!/usr/bin/python
 def timeToMin(s):
 	a = map(int,s.split("":""))
 	return a[0]*60+a[1]
 	
 	
 fin = open(""b.in"",""r"")
 fout = open(""b.out"",""w"")
 
 n = int(fin.readline())
 
 LEN = 1440
 
 for i in range(n):
 	a = [0]*LEN
 	b = [0]*LEN
 	
 	t = int(fin.readline())
 	na, nb = map(int, fin.readline().split())
 	
 	
 	for j in range(na):
 		t1, t2 = map(timeToMin, fin.readline().split())
 		t2 += t
 		a[t1] -= 1
 		b[t2] += 1
 	
 	for j in range(nb):
 		t1, t2 = map(timeToMin, fin.readline().split())
 		t2 += t
 		b[t1] -= 1
 		a[t2] += 1
 		
 	at = 0
 	s = 0
 	for k in a:
 		s += k
 		if s < 0:
 			at -= s
 			s = 0
 		
 	bt = 0
 	s = 0
 	for k in b:
 		s += k
 		if s < 0:
 			bt -= s
 			s = 0
 	
 	print >> fout, ""Case #%d: %d %d"" % (i+1, at, bt)
 	print ""Case #%d: %d %d"" % (i+1, at, bt)
 		",gcj/2008/32013/RalfKistner/24481/0/extracted/b.py,799,52,140,Python,32013,0,24481,RalfKistner,2008
34443,a.py,"#!/usr/bin/python
 
 IM = 10000000
 
 fin = open(""a.in"", ""r"")
 fout = open(""a.out"", ""w"")
 
 n = int(fin.readline())
 for i in xrange(1, n+1):
 	m, v = map(int, fin.readline().split())
 	tree = []
 	for j in xrange(m):
 		tree.append(map(int, fin.readline().split()))
 	
 	changes = [(None, None)] * ((m-1)/2)
 	for val in tree[(m-1)/2:]:
 		if val[0]:
 			changes.append((IM, 0))
 		else:
 			changes.append((0, IM))
 			
 	for j in xrange((m-1)/2-1, -1, -1):
 		c = tree[j][1]
 		o = tree[j][0]
 		no = (o+1)%2
 		
 		zero = [0, 0]
 		one = [0, 0]
 		zero[1] = min(changes[j*2+1][0] + min(changes[j*2+2]), changes[j*2+2][0] + min(changes[j*2+1]))
 		one[1] = changes[j*2+1][1] + changes[j*2+2][1]
 		
 		zero[0] = changes[j*2+1][0] + changes[j*2+2][0]
 		one[0] = min(changes[j*2+1][1] + min(changes[j*2+2]), changes[j*2+2][1] + min(changes[j*2+1]))
 		
 		
 		if c:
 			changes[j] = (min(zero[o], zero[no]+1), min(one[o], one[no]+1))
 		else:
 			changes[j] = (zero[o], one[o])
 		
 	#print changes
 	output = changes[0][v]
 	if output >= IM:
 		output = ""IMPOSSIBLE""
 	print ""Case #%d: %s"" % (i, str(output))
 	print >> fout, ""Case #%d: %s"" % (i, str(output))
 	
 fout.close()
",gcj/2008/32001/RalfKistner/24439/1/extracted/a.py,1180,49,142,Python,32001,1,24439,RalfKistner,2008
34445,d.py,"#!/usr/bin/python
 
 fin = open(""d.in"", ""r"")
 fout = open(""d.out"", ""w"")
 
 def all_perms(str):
     if len(str) <=1:
         yield str
     else:
         for perm in all_perms(str[1:]):
             for i in range(len(perm)+1):
                 yield perm[:i] + str[0:1] + perm[i:]
 
 
 n = int(fin.readline())
 for i in xrange(1, n+1):
 	k = int(fin.readline())
 	s = fin.readline().strip()
 	print k, s
 	
 	best = 10000000
 	for perm in all_perms(range(k)):
 		last = None
 		count = 0
 		ns = s
 		while len(ns):
 			for p in perm:
 				if ns[p] != last:
 					count += 1
 					last = ns[p]
 			ns = ns[k:]
 			
 		best = min(best, count)
 	print best
 	print >> fout, ""Case #%d: %d"" % (i, best)",gcj/2008/32001/RalfKistner/24442/0/extracted/d.py,701,35,98,Python,32001,0,24442,RalfKistner,2008
