,file,flines,full_path,no_characters,no_lines,no_tokens,prog_lang,round,solution,task,username,year
0,D.py,"#!/usr/bin/env python
 
 def comb(a, b):
 	if a < b:
 		a, b = b, a
 	bin = 1
 	for i in xrange(1, b + 1):
 		bin = (bin * (a + i)) / i
 	return bin
 
 def solve():
 	H, W, R = [ int(n) for n in raw_input().split() ]
 	rocks = []
 	for r in range(R):
 		rocks.append([ int(n) for n in raw_input().split() ])
 	
 	def rec(x, y, w, h):
 		dx = w - x
 		dy = h - y
 		n = 0
 		for a in range(dx + 1):
 			b = dx - 2 * a
 			if 0 <= b <= dy and a + 2 * b == dy:
 				n = n + comb(a, b)
 		rocksLeft = [
 			( u, v ) for u, v in rocks
 			if x < u < w and y < v < h
 			]
 		for rx1, ry1 in rocksLeft:
 			for rx2, ry2 in rocksLeft:
 				if rx2 < rx1 and ry2 < ry1:
 					break
 			else:
 				n -= rec(x, y, rx1, ry1) * rec(rx1, ry1, w, h)
 
 		return n
 	
 	return rec(1, 1, W, H) % 10007
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32002/mth/24445/0/extracted/D.py,870,42,191,Python,32002,0,24445,mth,2008
1,A.py,"#!/usr/bin/env python
 
 import sys
 
 def solve():
 	numEngines = int(sys.stdin.readline())
 	engines = []
 	for _ in range(numEngines):
 		engine = sys.stdin.readline()
 		engines.append(engine)
 
 	numQueries = int(sys.stdin.readline())
 	queries = []
 	for _ in range(numQueries):
 		query = sys.stdin.readline()
 		queries.append(query)
 
 	remainingEngines = set(engines)
 	switches = 0
 	for query in queries:
 		remainingEngines.discard(query)
 		if not remainingEngines:
 			remainingEngines = set(engines)
 			remainingEngines.discard(query)
 			switches += 1
 
 	return switches
 
 cases = int(sys.stdin.readline())
 for case in range(cases):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32013/mth/24480/1/extracted/A.py,699,32,73,Python,32013,1,24480,mth,2008
2,C.py,"#!/usr/bin/env python
 
 import math, sys
 
 def solve():
 	flyRadius, racketRadius, racketBorder, stringRadius, gap = (
 		float(s) for s in sys.stdin.readline().split()
 		)
 
 	# Simplify by pretending the fly is a point.
 	racketBorder += flyRadius
 	stringRadius += flyRadius
 	gap -= 2 * flyRadius
 
 	# Because the racket is symmetric in two directions, we only have to
 	# look at one quarter.
 
 	missArea = 0.0
 	racketInner = racketRadius - racketBorder
 	racketInnerSq = racketInner ** 2
 	gridSpacing = 2 * stringRadius + gap
 	numStrings = int(racketInner / gridSpacing) + 1 # round up
 	for gridX in range(numStrings):
 		x0 = gridSpacing * gridX + stringRadius
 		x1 = x0 + gap
 		for gridY in range(numStrings):
 			y0 = gridSpacing * gridY + stringRadius
 			y1 = y0 + gap
 			d0 = x0 ** 2 + y0 ** 2
 			d1 = x1 ** 2 + y1 ** 2
 			if d0 > racketInnerSq:
 				# Grid cell is entirely outside.
 				pass
 			elif d1 < racketInnerSq:
 				# Grid cell is entirely inside.
 				missArea += gap ** 2
 			else:
 				# Grid cell is partially inside.
 				cx0 = math.sqrt(racketInnerSq - y0 ** 2)
 				cx1 = math.sqrt(max(racketInnerSq - y1 ** 2, 0.0))
 				cy0 = math.sqrt(racketInnerSq - x0 ** 2)
 				cy1 = math.sqrt(max(racketInnerSq - x1 ** 2, 0.0))
 				if cx1 > x0:
 					# Full grid height section.
 					missArea += (cx1 - x0) * gap
 				# Partial section.
 				# h(x) = sqrt(racketInnerSq - x ** 2) - y0
 				px0 = max(x0, cx1)
 				px1 = min(x1, cx0)
 				a = math.asin(px0 / racketInner) * 2
 				b = math.asin(px1 / racketInner) * 2
 				missArea += (racketInnerSq / 4) * (
 					(math.sin(b) + b) - (math.sin(a) + a)
 					) - y0 * (px1 - px0)
 				# Remaining section (if any) contributes 0.
 
 	totalArea = math.pi * racketRadius ** 2 / 4
 	return '%1.6f' % (1.0 - (missArea / totalArea))
 
 cases = int(sys.stdin.readline())
 for case in range(cases):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32013/mth/24479/0/extracted/C.py,1923,63,313,Python,32013,0,24479,mth,2008
3,B.py,"#!/usr/bin/env python
 
 import sys
 
 def parseTime(timeStr):
 	hours, minutes = ( int(s) for s in timeStr.split(':') )
 	return hours * 60 + minutes
 
 def parseTrips(numTrips):
 	departures = []
 	arrivals = []
 	for _ in range(numTrips):
 		depart, arrive = ( parseTime(s) for s in sys.stdin.readline().split() )
 		departures.append(depart)
 		arrivals.append(arrive)
 	return departures, arrivals
 
 def simulate(departures, arrivals, turnaround):
 	events = [ ( departure,  1 ) for departure in departures ] \
 		+ [ ( arrival + turnaround, -1 ) for arrival in arrivals ]
 	# Note: Sorting on second coordinate is important too.
 	events.sort()
 	trains = 0
 	worstShortage = 0
 	for time, delta in events:
 		trains -= delta
 		if trains < worstShortage:
 			worstShortage = trains
 	return -worstShortage
 
 def solve():
 	turnaround = int(sys.stdin.readline())
 	tripsA, tripsB = ( int(s) for s in sys.stdin.readline().split() )
 	departuresA, arrivalsB = parseTrips(tripsA)
 	departuresB, arrivalsA = parseTrips(tripsB)
 	return '%s %s' % (
 		simulate(departuresA, arrivalsA, turnaround),
 		simulate(departuresB, arrivalsB, turnaround)
 		)
 
 cases = int(sys.stdin.readline())
 for case in range(cases):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32013/mth/24481/1/extracted/B.py,1263,44,163,Python,32013,1,24481,mth,2008
4,A.py,"#!/usr/bin/env python
 
 inf = 1000000000
 
 class InnerNode(object):
 
 	def __init__(self, nodes, index, gate, change):
 		self.nodes = nodes
 		self.index = index
 		self.gate = gate
 		self.change = change
 
 	def produces(self):
 		left = self.nodes[self.index * 2].produces()
 		right = self.nodes[self.index * 2 + 1].produces()
 
 		orProd = (left[0] + right[0], min(left[1], right[1]))
 		andProd = (min(left[0], right[0]), left[1] + right[1])
 
 		if self.gate:
 			norm, alt = andProd, orProd
 		else:
 			norm, alt = orProd, andProd
 		if self.change:
 			return ( min(norm[0], alt[0] + 1), min(norm[1], alt[1] + 1) )
 		else:
 			return norm
 
 class LeafNode(object):
 
 	def __init__(self, value):
 		self.value = value
 
 	def produces(self):
 		return (inf, 0) if self.value else (0, inf)
 
 def solve():
 	M, V = [ int(i) for i in raw_input().split() ]
 	nodes = [ None ] * (M + 1)
 	for i in range(0, (M - 1) / 2):
 		G, C = [ int(j) for j in raw_input().split() ]
 		nodes[i + 1] = InnerNode(nodes, i + 1, G, bool(C))
 	for i in range(0, (M + 1) / 2):
 		nodes[(M - 1) / 2 + i + 1] = LeafNode(int(raw_input()))
 	minChange = nodes[1].produces()[V]
 	#for i in range((M - 1) / 2 + (M + 1) / 2):
 	#	print i + 1, nodes[i + 1].produces()
 	return 'IMPOSSIBLE' if minChange >= inf else minChange
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32001/mth/24439/1/extracted/A.py,1396,52,216,Python,32001,1,24439,mth,2008
5,D.py,"#!/usr/bin/env python
 
 def genperm(rem):
 	if rem:
 		for i in rem:
 			for perm in genperm(rem - set([i])):
 				yield [ i ] + perm
 	else:
 		yield []
 
 def permute(perm, s):
 	return ''.join(s[p] for p in perm)
 
 def compress(s):
 	prev = None
 	n = 0
 	for c in s:
 		if c != prev:
 			n += 1
 			prev = c
 	return n
 
 def solve():
 	permSize = int(raw_input())
 	data = raw_input()
 
 	permutations = list(genperm(set(range(permSize))))
 
 	clen = 1000000000
 	for perm in permutations:
 		permData = ''
 		for i in range(0, len(data), permSize):
 			permData += permute(perm, data[i : i + permSize])
 		clen = min(clen, compress(permData))
 
 	return clen
 
 import psyco
 psyco.full()
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32001/mth/24442/0/extracted/D.py,782,43,115,Python,32001,0,24442,mth,2008
6,B.py,"#!/usr/bin/env python
 
 def solve():
 	N, M, A = [ int(i) for i in raw_input().split() ]
 
 	for x in range(1, N + 1):
 		for y in range(1, M + 1):
 			if x * y < A:
 				continue
 			for a in range(0, x + 1):
 				for b in range(0, y + 1):
 					if x * y - a * b == A:
 						return ' '.join(str(i) for i in (
 							0, 0, x, b, a, y
 							))
 
 	return 'IMPOSSIBLE'
 
 import psyco
 psyco.full()
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32001/mth/24440/0/extracted/B.py,487,24,92,Python,32001,0,24440,mth,2008
7,C.py,"#!/usr/bin/env python
 
 def solve():
 	signs, genlen, X, Y, Z = [ int(i) for i in raw_input().split() ]
 	gen = []
 	for _ in range(genlen):
 		gen.append(int(raw_input()))
 
 	r = { -1: 1 }
 	for i in xrange(signs):
 		limit = gen[i % genlen]
 		gen[i % genlen] = (X * limit + Y * (i + 1)) % Z
 
 		s = {}
 		for j, n in r.iteritems():
 			s[j] = s.get(j, 0) + n
 			if limit > j:
 				s[limit] = s.get(limit, 0) + n
 		r = s
 
 	return (sum(s.itervalues()) - 1) % 1000000007
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32015/mth/24488/0/extracted/C.py,563,25,101,Python,32015,0,24488,mth,2008
8,B.py,"#!/usr/bin/env python
 
 def solve():
 	digits = raw_input()
 	numDigits = len(digits)
 
 	def numbers(start):
 		if start == numDigits:
 			assert False
 		s = {}
 		s[int(digits[start : ])] = 1
 		for i in range(start + 1, numDigits):
 			first = int(digits[start : i])
 			for n, f in numbers(i).iteritems():
 				s[first + n] = s.get(first + n, 0) + f
 				s[first - n] = s.get(first - n, 0) + f
 		return s
 	return sum(
 		f
 		for n, f in numbers(0).iteritems()
 		if n % 2 == 0 or n % 3 == 0 or n % 5 == 0 or n % 7 == 0
 		)
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32015/mth/24487/0/extracted/B.py,618,26,111,Python,32015,0,24487,mth,2008
9,A.py,"#!/usr/bin/env python
 
 def solve():
 	lpk, keys, alph = [ int(i) for i in raw_input().split() ]
 	freq = [ int(i) for i in raw_input().split() ]
 	assert len(freq) == alph
 	assert lpk * keys >= alph
 	freq.sort()
 	freq.reverse()
 	presses = 0
 	for repeat, index in enumerate(range(0, lpk * keys, keys)):
 		presses += sum(n for n in freq[index : index + keys]) * (repeat + 1)
 	return presses
 
 for case in range(int(raw_input())):
 	print 'Case #%d: %s' % (case + 1, solve())
",gcj/2008/32015/mth/24486/1/extracted/A.py,483,17,78,Python,32015,1,24486,mth,2008
